"src","tgt"
"<en> Go.","<es> Ve."
"<en> Go.","<es> Vete."
"<en> Go.","<es> Vaya."
"<en> Go.","<es> Váyase."
"<en> Hi.","<es> Hola."
"<en> Run!","<es> ¡Corre!"
"<en> Run.","<es> Corred."
"<en> Who?","<es> ¿Quién?"
"<en> Fire!","<es> ¡Fuego!"
"<en> Fire!","<es> ¡Incendio!"
"<en> Fire!","<es> ¡Disparad!"
"<en> Help!","<es> ¡Ayuda!"
"<en> Help!","<es> ¡Socorro! ¡Auxilio!"
"<en> Help!","<es> ¡Auxilio!"
"<en> Jump!","<es> ¡Salta!"
"<en> Jump.","<es> Salte."
"<en> Stop!","<es> ¡Parad!"
"<en> Stop!","<es> ¡Para!"
"<en> Stop!","<es> ¡Pare!"
"<en> Wait!","<es> ¡Espera!"
"<en> Wait.","<es> Esperen."
"<en> Go on.","<es> Continúa."
"<en> Go on.","<es> Continúe."
"<en> Hello!","<es> Hola."
"<en> I ran.","<es> Corrí."
"<en> I ran.","<es> Corría."
"<en> I try.","<es> Lo intento."
"<en> I won!","<es> ¡He ganado!"
"<en> Oh no!","<es> ¡Oh, no!"
"<en> Relax.","<es> Tomátelo con soda."
"<en> Smile.","<es> Sonríe."
"<en> Attack!","<es> ¡Al ataque!"
"<en> Attack!","<es> ¡Atacad!"
"<en> Get up.","<es> Levanta."
"<en> Go now.","<es> Ve ahora mismo."
"<en> Got it!","<es> ¡Lo tengo!"
"<en> Got it?","<es> ¿Lo pillas?"
"<en> Got it?","<es> ¿Entendiste?"
"<en> He ran.","<es> Él corrió."
"<en> Hop in.","<es> Métete adentro."
"<en> Hug me.","<es> Abrázame."
"<en> I fell.","<es> Me caí."
"<en> I know.","<es> Yo lo sé."
"<en> I left.","<es> Salí."
"<en> I lied.","<es> Mentí."
"<en> I lost.","<es> Perdí."
"<en> I quit.","<es> Dimito."
"<en> I quit.","<es> Renuncié."
"<en> I work.","<es> Estoy trabajando."
"<en> I'm 19.","<es> Tengo diecinueve."
"<en> I'm up.","<es> Estoy levantado."
"<en> Listen.","<es> Escucha."
"<en> Listen.","<es> Escuche."
"<en> Listen.","<es> Escuchen."
"<en> No way!","<es> ¡No puede ser!"
"<en> No way!","<es> De ninguna manera."
"<en> No way!","<es> ¡De ninguna manera!"
"<en> No way!","<es> ¡Imposible!"
"<en> No way!","<es> ¡De ningún modo!"
"<en> No way!","<es> ¡De eso nada!"
